Label,URI,Comment
mole concentration of sulfur dioxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_sulfur_dioxide_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for sulfur dioxide is SO2."
mole concentration of toluene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_toluene_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for toluene is C6H5CH3.  Toluene has the same structure as benzene, except that one ofthe hydrogen atoms is replaced by a methyl group.  The systematic name for toluene is methylbenzene."
mole concentration of water vapor in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_water_vapor_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'."
mole concentration of xylene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_concentration_of_xylene_in_air," Mole concentration means number of moles per unit volume, also called molarity, and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for xylene is C6H4C2H6. In chemistry, xylene is a generic term for a group of three isomers of dimethylbenzene. The IUPAC names for the isomers are 1,2-dimethylbenzene, 1,3-dimethylbenzene and 1,4-dimethylbenzene. Xylene is an aromatic hydrocarbon. There are standard names that refer to aromatic_compounds as a group, as well as those for individual species."
mole fraction of acetic acid in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_acetic_acid_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for acetic_acid is CH3COOH. The IUPAC name for acetic acid is ethanoic acid."
mole fraction of aceto nitrile in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_aceto_nitrile_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for aceto-nitrile is CH3CN. The IUPAC name for aceto-nitrile is ethanenitrile."
mole fraction of alpha hexachlorocyclohexane in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_alpha_hexachlorocyclohexane_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of alpha pinene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_alpha_pinene_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for alpha_pinene is C10H16. The IUPAC name for alpha-pinene is (1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene."
mole fraction of ammonia in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_ammonia_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for ammonia is NH3."
mole fraction of anthropogenic nmvoc expressed as carbon in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_anthropogenic_nmvoc_expressed_as_carbon_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. nmvoc means non methane volatile organic compounds. Anthropogenic means influenced, caused, or created by human activity. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
mole fraction of atomic bromine in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_atomic_bromine_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical symbol of atomic bromine is Br."
mole fraction of atomic chlorine in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_atomic_chlorine_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical symbol of atomic chlorine is Cl."
mole fraction of atomic nitrogen in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_atomic_nitrogen_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical symbol of atomic nitrogen is N."
mole fraction of benzene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_benzene_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of beta pinene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_beta_pinene_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for beta_pinene is C10H16.  The IUPAC name for beta-pinene is (1S,5S)-6,6-dimethyl-2-methylenebicyclo[3.1.1]heptane."
mole fraction of biogenic nmvoc expressed as carbon in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_biogenic_nmvoc_expressed_as_carbon_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. nmvoc means non methane volatile organic compounds. Biogenic means influenced, caused, or created by natural processes. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
mole fraction of bromine chloride in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_bromine_chloride_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of bromine chloride is BrCl."
mole fraction of bromine monoxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_bromine_monoxide_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of bromine monoxide is BrO."
mole fraction of bromine nitrate in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_bromine_nitrate_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y. The chemical formula of bromine nitrate is BrONO2."
mole fraction of brox expressed as bromine in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_brox_expressed_as_bromine_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Brox  describes a family of chemical species consisting of inorganic bromine compounds withthe exception of  hydrogen bromide (HBr) and bromine nitrate (BrONO2). Brox isthe term used in standard names for all species belonging to the family that are represented within a given model. The list of individual species that are included in a quantity with a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. Inorganic bromine, sometimes referred to as Bry, describes a family of chemical species which result from the degradation of source gases containing bromine (halons, methyl bromide, VSLS) and natural inorganic bromine sources such as volcanoes, seasalt and other aerosols.  Standard names that use the term inorganic_bromine are used for quantities that contain all inorganic bromine species includingHCl and ClONO2. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
mole fraction of butane in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_butane_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for butane is C4H10. Butane is a member of the group of hydrocarbons known as alkanes.  There are standard names for the alkane group as well as for some of the individual species."
mole fraction of carbon dioxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_carbon_dioxide_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of carbon monoxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_carbon_monoxide_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of carbon tetrachloride in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_carbon_tetrachloride_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of carbon tetrachloride is CCl4."
mole fraction of cfc113 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_cfc113_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of CFC113 is CCl2FCClF2.  The IUPAC name for CFC113 is 1,1,2-trichloro-1,2,2-trifluoro-ethane."
mole fraction of cfc113a in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_cfc113a_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of CFC113a CCl3CF3.  The IUPAC name for CFC113a is 1,1,1-trichloro-2,2,2-trifluoro-ethane."
mole fraction of cfc114 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_cfc114_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of CFC114 is CClF2CClF2.  The IUPAC name for CFC114 is 1,2-dichloro-1,1,2,2-tetrafluoro-ethane."
mole fraction of cfc115 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_cfc115_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of CFC115 is CClF2CF3.  The IUPAC name for CFC115 is 1-chloro-1,1,2,2,2-pentafluoro-ethane."
mole fraction of cfc11 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_cfc11_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of CFC11 is CFCl3.  The IUPAC name for CFC11 is trichloro-fluoro-methane."
mole fraction of cfc12 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_cfc12_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of CFC12 is CF2Cl2.  The IUPAC name for CFC12 is dichloro-difluoro-methane."
mole fraction of chlorine dioxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_chlorine_dioxide_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of chlorine dioxide is OClO."
mole fraction of chlorine monoxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_chlorine_monoxide_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of chlorine monoxide is ClO."
mole fraction of chlorine nitrate in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_chlorine_nitrate_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of chlorine nitrate is ClONO2."
mole fraction of clox expressed as chlorine in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_clox_expressed_as_chlorine_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Clox describes a family of chemical species consisting of inorganic chlorine compounds withthe exception of  hydrogen chloride (HCl) and chlorine nitrate (ClONO2). Clox is the term used in standard names for all species belonging to the family that are represented within a given model. The list of individual species that are included in a quantity with a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. Inorganic chlorine, sometimes referred to as Cly, describes a family of chemical species which result from the degradation of source gasescontaining chlorine (CFCs, HCFCs, VSLS) and natural inorganic chlorine sources such as seasalt and other aerosols.   Standard names that use the term inorganic_chlorine are used for quantities that contain all inorganic chlorine species including HCl and ClONO2. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
mole fraction of dichlorine peroxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_dichlorine_peroxide_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.   The chemical formula of dichlorine peroxide is Cl2O2."
mole fraction of dimethyl sulfide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_dimethyl_sulfide_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of dinitrogen pentoxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_dinitrogen_pentoxide_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of dinitrogen pentoxide is N2O5."
mole fraction of ethane in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_ethane_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of ethanol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_ethanol_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for ethanol is C2H5OH."
mole fraction of ethene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_ethene_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of ethyne in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_ethyne_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of formaldehyde in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_formaldehyde_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of formic acid in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_formic_acid_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for formic acid is HCOOH.  The IUPAC name for formic acid is methanoic acid."
mole fraction of gaseous divalent mercury in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_gaseous_divalent_mercury_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  Divalent mercury means all compounds in which the mercury has two binding sites to other ion(s) in a salt or to other atom(s) in a molecule. "
mole fraction of gaseous elemental mercury in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_gaseous_elemental_mercury_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of halon1202 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_halon1202_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of  halon1202  is CBr2F2.  The IUPAC name for halon 1202 is dibromo-difluoro-methane."
mole fraction of halon1211 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_halon1211_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of halon1211 is CBrClF2.  The IUPAC name for halon 1211 is bromo-chloro-difluoro-methane."
mole fraction of halon1301 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_halon1301_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of halon1301 is CBrF3.  The IUPAC name for halon 1301 is bromo-trifluoro-methane."
mole fraction of halon2402 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_halon2402_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of halon2402 is C2Br2F4.  The IUPAC name for halon 2402 is 1,2-dibromo-1,1,2,2-tetrafluoro-ethane."
mole fraction of hcc140a in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_hcc140a_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for hcc140a is CH3CCl3. The IUPAC name for hcc140a is 1,1,1-trichloro-ethane."
mole fraction of hcfc141b in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_hcfc141b_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for HCFC141b is CH3CCl2F. The IUPAC name for HCFC141b is 1,1-dichloro-1-fluoroethane."
mole fraction of hcfc142b in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_hcfc142b_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for HCFC142b is CH3CClF2. The IUPAC name for HCFC142b is 1-chloro-1,1-difluoroethane."
mole fraction of hcfc22 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_hcfc22_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for HCFC22 is CHClF2.  The IUPAC name for HCFC22 is chloro-difluoro-methane."
mole fraction of hexachlorobiphenyl in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_hexachlorobiphenyl_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of hox expressed as hydrogen in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_hox_expressed_as_hydrogen_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. HOx means a combination of two radical species containing hydrogen and oxygen: OH and HO2. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
mole fraction of hydrogen bromide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_hydrogen_bromide_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of hydrogen bromide is HBr."
mole fraction of hydrogen chloride in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_hydrogen_chloride_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of hydrogen chloride is HCl."
mole fraction of hydrogen cyanide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_hydrogen_cyanide_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of hydrogen cyanide is HCN."
mole fraction of hydrogen peroxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_hydrogen_peroxide_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of hydrogen peroxide is H202."
mole fraction of hydroperoxyl radical in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_hydroperoxyl_radical_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of hydroperoxyl radical is HO2."
mole fraction of hydroxyl radical in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_hydroxyl_radical_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of hypobromous acid in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_hypobromous_acid_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of hypobromous acid is HOBr."
mole fraction of hypochlorous acid in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_hypochlorous_acid_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of hypochlorous acid is HOCl."
mole fraction of inorganic bromine in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_inorganic_bromine_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Inorganic bromine, sometimes referred to as Bry, describes a family of chemical species which result from the degradation of bromine containing source gases (halons, methyl bromide, VSLS) and natural inorganic bromine sources such as volcanoes, seasalt and other aerosols. Inorganic bromine is the term used in standard names for all species belonging to the family that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. Standard names that use the term brox are used for quantities that contain all inorganic bromine species except HBr and BrONO2."
mole fraction of inorganic chlorine in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_inorganic_chlorine_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  Inorganic chlorine,sometimes referred to as Cly, describes a family of chemical species which result from the degradation of chlorine-containing source gases (CFCs, HCFCs, VSLS) and natural inorganic chlorine sources such as sea-salt and other aerosols.  mole_fraction_of_inorganic_chlorine is the sum of all species belonging to the family that are represented within a given model."
mole fraction of isoprene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_isoprene_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of limonene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_limonene_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for limonene is C10H16. The IUPAC name for limonene is 1-methyl-4-prop-1-en-2-yl-cyclohexene. Limonene is a member of the group of hydrocarbons known as terpenes.  There arestandard names for the terpene group as well as for some of the individual species."
mole fraction of methane in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_methane_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of methanol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_methanol_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for methanol is CH3OH."
mole fraction of methyl bromide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_methyl_bromide_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of methyl bromide is CH3Br."
mole fraction of methyl chloride in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_methyl_chloride_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of methyl chloride is CH3Cl."
mole fraction of methyl hydroperoxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_methyl_hydroperoxide_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of methyl hydroperoxide is CH3OOH."
mole fraction of methyl peroxy radical in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_methyl_peroxy_radical_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for methyl_peroxy_radical is CH3O2. In chemistry, a 'radical' is a highly reactive, and therefore shortlived, species."
mole fraction of molecular hydrogen in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_molecular_hydrogen_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.  The chemical formula of molecular hydrogen is H2."
mole fraction of nitrate radical in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_nitrate_radical_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. In chemistry, a 'radical' is a highly reactive, and therefore shortlived, species."
mole fraction of nitric acid in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_nitric_acid_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of nitric acid trihydrate ambient aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_nitric_acid_trihydrate_ambient_aerosol_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Ambient aerosol is aerosol that has taken up ambient water through hygroscopic growth. The extent of hygroscopic growth depends on the relative humidity and the composition of the aerosol. The chemical formula for nitric acid is HNO3. Nitric acid trihydrate, sometimes referred to as NAT, is a stable crystalline substance consisting of three molecules of water to one molecule of nitric acid."
mole fraction of nitrogen dioxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_nitrogen_dioxide_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of nitrogen monoxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_nitrogen_monoxide_in_air,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y."
mole fraction of nitrous acid in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mole_fraction_of_nitrous_acid_in_air," Mole fraction is used in the construction mole_fraction_of_X_in_Y, whereX is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemicalformula for nitrous acid is HNO2."
